COUNTRY_CODE,station_count,avg_lat,avg_lon
GV,11,9.960454545454544,-11.166363636363636
GP,3,16.83433333333333,-61.81666666666666
ER,2,14.175,40.817
BY,2,-3.075,29.825
TL,1,-9.2,-171.917
KR,6,-1.4916666666666665,-109.10551666666667
JM,3,18.112,-77.32943333333333
CS,6,9.914666666666667,-84.21983333333334
LU,11,49.764163636363634,6.053936363636364
BM,5,18.8714,96.2178
CY,8,34.9540625,33.03530000000001
DA,16,56.047374999999995,10.01820625
UC,1,12.189,-68.96
EC,15,-1.2637800000000001,-80.33828666666666
SZ,10,46.611630000000005,7.86324
KU,5,29.364600000000003,47.736599999999996
CQ,11,14.95490909090909,145.6116909090909
CU,6,21.441783333333333,-79.76666666666667
RW,1,-1.969,30.139
IC,10,66.03044,-28.44618
DR,5,18.700200000000002,-69.9332
