COUNTRY_CODE,station_count,avg_lat,avg_lon
CQ,11,14.95490909090909,145.6116909090909
MY,16,3.913,108.29137499999999
BL,36,-16.752194444444445,-64.51663888888889
IN,3807,20.951074336748093,79.32257788284738
DA,16,56.047374999999995,10.018206249999999
CE,6,7.3371666666666675,80.52483333333333
GB,20,-0.6357,11.37975
AQ,21,-14.126352380952383,-170.45504285714287
ID,104,-3.0101442307692303,117.04852884615386
PL,10,52.4985,19.49971
CO,27,6.515037037037036,-75.04048148148149
JO,5,31.6512,36.5706
UP,204,48.49416764705882,31.300102941176466
BK,6,43.92241666666667,18.00108333333333
LE,8,34.10725,35.9118
RP,34,13.93318529411765,122.28733235294115
KZ,329,48.05882857142856,68.38265592705167
NO,426,62.607744366197174,10.722596713615026
EK,2,2.8274999999999997,9.2545
JA,197,34.79749644670051,136.2620771573604
UV,13,12.205615384615385,-1.337384615384615
RQ,260,18.22965769230769,-66.44130269230769
TX,57,38.735310526315786,58.9040350877193
ZI,18,-18.883388888888884,30.0185
HU,10,47.016560000000005,19.42341
NH,6,-17.195166666666665,168.313
EG,22,28.823631818181813,30.597513636363633
PS,13,6.967261538461539,134.18916153846155
HR,14,44.560714285714276,16.171028571428568
LA,15,17.472326666666667,104.09160666666668
BU,4,42.89,24.866
NF,1,-29.042,167.939
IC,10,66.03044,-28.44617999999999
IZ,1,32.17,46.05
EN,46,58.768271739130434,24.892173913043482
AE,4,24.82075,55.285250000000005
LT,4,-29.53,27.875
CI,21,-34.984414285714294,-73.64760476190477
BO,51,53.6330725490196,27.54339607843137
BN,9,8.925777777777778,2.433777777777778
SH,3,-18.761233333333333,-12.894333333333334
AC,2,17.125,-61.7833
NP,2,27.3415,86.35849999999999
FS,3,-31.938666666666666,58.87766666666666
NU,6,12.580716666666667,-86.08638333333333
RI,3,44.488733333333336,20.738899999999997
EZ,12,49.890816666666666,14.99965
RM,21,8.715585714285714,168.4398238095238
PK,35,30.873714285714282,70.34931428571427
FP,8,-19.035375,-144.902
NI,10,8.6616,8.0369
UG,8,0.8664999999999999,31.63125
BM,5,18.8714,96.21779999999998
EC,15,-1.2637800000000003,-80.33828666666665
PM,10,8.863679999999999,-79.94667000000001
PE,25,-9.64332,-75.95063999999999
SN,1,1.35,103.994
TD,4,10.75825,-61.2541
BE,1,50.8,4.35
KT,1,-10.45,105.683
EI,14,53.165671428571436,-7.970585714285714
TZ,14,-5.170642857142858,36.13157142857143
JQ,4,16.7333,-169.52085
CD,14,12.453357142857142,17.961714285714287
AO,6,-13.480500000000001,15.35
ML,19,14.612842105263155,-5.32321052631579
MJ,8,42.80183749999999,19.2432625
DR,5,18.700200000000002,-69.9332
MT,1,35.85,14.4831
MQ,3,28.205566666666666,-177.3611
SY,12,34.97275833333333,37.405950000000004
AF,4,33.898250000000004,66.57675
WZ,6,-26.60716666666666,31.406666666666666
GY,2,6.65,-58.2
LU,11,49.764163636363634,6.053936363636364
CU,6,21.441783333333333,-79.76666666666667
SX,1,-54.283,-36.5
GT,1,14.58,-90.52
SZ,10,46.611630000000005,7.86324
BG,10,23.6147,90.46209999999999
LO,6,48.70563333333333,19.2971
MD,18,47.13344444444444,28.58811111111111
DO,1,15.3833,-61.35
SV,2,78.175,14.88335
ST,2,13.74165,-60.96665
NE,1,-19.083,-169.933
WQ,1,19.2833,166.65
KR,6,-1.4916666666666665,-109.10551666666667
CY,8,34.9540625,33.0353
TE,1,-15.883,54.517
MP,5,-17.4598,58.993399999999994
FG,4,4.46225,-53.05825
JM,3,18.112,-77.32943333333334
LI,1,6.234,-10.362
ER,2,14.175,40.817
PU,2,11.739,-15.5685
TV,2,-7.092,177.675
SL,2,8.633500000000002,-12.0835
TN,1,-18.65,-173.983
CM,5,7.1514,12.929400000000001
HO,8,15.242337500000001,-86.46091249999999
BD,2,32.3167,-64.76665
SE,1,-4.667,55.517
UC,1,12.189,-68.96
BA,1,26.267,50.65
GP,3,16.83433333333333,-61.81666666666666
AL,3,41.61603333333333,19.679066666666667
IO,1,-7.3,72.4
GA,1,13.338,-16.652
WI,1,23.7,-15.867
CV,3,16.180333333333333,-23.849666666666668
CS,6,9.914666666666667,-84.21983333333333
KU,5,29.364600000000003,47.736599999999996
GI,1,36.151,-5.35
MC,1,22.15,113.592
JN,1,70.9331,-8.6667
TL,1,-9.2,-171.917
BB,1,13.067,-59.483
BY,2,-3.075,29.825
ES,3,13.532333333333334,-88.92666666666666
RE,1,-20.887,55.51
WF,2,-13.775,-177.142
FK,1,-51.823,-58.447
CK,1,-12.183,96.833
CW,1,-21.203,-159.806
MF,1,-12.805,45.281
JU,1,-17.05,42.717
BX,1,4.944,114.928
NS,1,5.453,-55.188
NN,1,18.041,-63.109
EU,1,-22.333,40.333
RW,1,-1.969,30.139
CJ,1,19.3,-81.3667
QA,1,25.261,51.565
SB,1,46.763,-56.176
CB,1,11.547,104.844
BH,1,17.539,-88.308
MV,1,4.2,73.533
